Data,ALE,MBK,PCO,ZAB,value
2025-08-28,32613.314447592074,41315.5001832173,33133.73374343077,26842.36212786725,133904.9105021074
2025-08-29,32325.601983002834,40225.357273726644,32422.31963381851,26598.34065397755,131571.61954452554
2025-09-01,31351.8059490085,40032.97911322829,31498.994938364292,26403.123474865788,129286.90347546688
2025-09-02,30510.800283286124,39547.453279589594,31408.1761158606,26549.53635919961,128015.96603793593
2025-09-03,30555.063739376772,39437.52290216197,31196.26553001865,26390.9224011713,127579.7745727287
2025-09-04,30816.21813031162,40445.218028581905,31665.4961129544,26842.36212786725,129769.29439971517
2025-09-05,30887.03966005666,40179.55294979847,31226.53847085321,26573.93850658858,128867.06958729692
2025-09-08,31869.688385269124,41562.84353242946,31650.359642537114,26805.758906783794,131888.6504670195
2025-09-09,31444.759206798873,40839.13521436424,31574.6772904507,26769.15568570034,130627.72739731417
2025-09-10,31728.045325779043,40216.19640894101,31135.71964834952,26464.128843338214,129544.09022640779
2025-09-11,31949.362606232302,41022.352510076955,31165.992589184083,26476.329917032697,130614.03762252604
2025-09-12,31573.12322946176,40802.491755221694,30219.963188103946,26415.32454856027,129010.90272134768
2025-09-15,31812.14589235128,42332.35617442287,30424.30553873726,26476.329917032697,131045.1375225441
2025-09-16,31250.0,41315.5001832173,30144.280836017533,26012.689116642265,128722.47013587708
2025-09-17,31232.294617563744,41342.98277757421,30681.625535831052,25976.08589555881,129232.9888265278
2025-09-18,30869.334277620397,42139.97801392452,31241.674941270496,26561.737432894093,130812.72466570951
2025-09-19,30648.01699716714,41910.956394283625,31014.62788501126,26866.76427525622,130440.36555171825
2025-09-22,30634.737960339942,40674.2396482228,32967.23256884067,26659.346022449976,130935.55619985338
2025-09-23,30763.101983002834,41214.73067057531,32967.23256884067,26793.55783308931,131738.62305550813
2025-09-24,30820.64447592068,40939.90472700623,33860.28432346032,27257.198633479748,132878.03215986697
2025-09-25,30749.82294617564,39785.63576401613,38522.31721198324,27452.41581259151,136510.1917347665
2025-09-26,31232.294617563744,41352.14364235984,39354.82308493376,27562.225475841875,139501.4868206992
2025-09-29,32029.03682719547,41223.89153536094,39400.232496185614,27916.05661298194,140569.21747172397
2025-09-30,31511.154390934847,41223.89153536094,39203.45838076094,28611.517813567592,140550.02212062431
2025-10-01,30984.419263456093,41645.29131550019,38946.138383667145,28062.469497315764,139638.31845993918
2025-10-02,30687.854107648727,42588.86038842067,39324.5501440992,27122.986822840412,139724.25146300902
2025-10-03,30895.89235127479,42598.02125320631,39506.18778910659,26708.150317227915,139708.2517108156
2025-10-06,29922.096317280455,41727.739098570906,39945.14543120777,26549.53635919961,138144.51720625872
2025-10-07,29758.321529745048,42552.216929278125,40747.37836332373,26317.715959004392,139375.6327813513
2025-10-08,29652.089235127478,42094.173689996336,39279.14073284735,26098.09663250366,137123.50029047483
2025-10-09,29156.338526912186,42964.45584463174,39945.14543120777,26134.699853587117,138200.6396563388
2025-10-10,29390.934844192638,42817.88200806156,39869.46307912136,26342.11810639336,138420.3980377689
2025-10-13,29674.22096317281,42368.999633565414,39960.28190162505,26390.9224011713,138394.42489953456
2025-10-14,29789.3059490085,41975.082447783076,39354.82308493376,26220.10736944851,137339.31885117386
2025-10-15,29948.654390934844,43019.421033345556,40414.37601414352,26464.128843338214,139846.58028176212
2025-10-16,29877.832861189803,42561.37779406377,41867.47717420261,26634.943875061002,140941.63170451717
2025-10-17,29696.352691218133,41846.830340784174,42124.797171296406,26537.335285505123,140205.31548880384
2025-10-20,29868.980169971677,43385.855624770986,42245.88893463467,26659.346022449976,142160.0707518273
2025-10-21,30152.266288951847,43587.39465005497,42382.11716839021,26695.94924353343,142817.72735093045
2025-10-22,30541.78470254958,44430.19421033346,42866.48422174324,26561.737432894093,144400.20056752037
2025-10-23,30869.334277620397,44824.1113961158,43926.037150952994,26329.917032698875,145949.39985738805
2025-10-24,30816.21813031162,45016.48955661415,42699.98304715313,26537.335285505123,145070.02601958404
2025-10-27,30701.133144475923,45602.78490289484,41897.750115037175,26476.329917032697,144677.99807944064
2025-10-28,30984.419263456093,47865.51850494687,43714.12656511104,26842.36212786725,149406.42646138126
2025-10-29,30594.90084985836,47819.714181018695,42851.34775132596,25512.445095168376,146778.40787737138
2025-10-30,30510.800283286124,46605.899596921954,42684.84657673585,26268.911664226453,146070.45812117038
2025-10-31,30541.78470254958,44943.202638329065,42109.660700879125,26171.30307467057,143765.95111642833
2025-11-03,30347.025495750713,46468.48662513742,41852.340703785325,26085.895558809174,144753.74838348263
2025-11-04,29966.359773371107,46193.66068156835,41625.293647526094,25805.270863836016,143590.58496630157
2025-11-05,30316.041076487254,45529.49798460975,41670.703058777945,26293.313811615422,143809.55593149038
2025-11-06,30559.490084985842,45804.32392817883,41882.613644619894,26220.10736944851,144466.53502723307
2025-11-07,30696.706798866857,46926.52986441921,42382.11716839021,26134.699853587117,146140.05368526338
2025-11-10,30931.303116147308,48094.540124587766,43063.25833716791,26586.139580283063,148675.24115818605
2025-11-12,30807.365439093486,48071.637962623674,43290.305393427145,27110.78574914592,149280.09454429022
2025-11-13,30630.311614730883,48621.28984976182,41398.24659126686,28355.295265983405,149005.14332174297
2025-11-14,30320.46742209632,48392.26823012093,41246.88188709404,28709.126403123475,148668.74394243478
2025-11-17,29625.531161473093,47934.22499083914,40807.92424499286,28916.54465592972,147284.2250532348
2025-11-18,28527.797450424932,47018.13851227556,40172.192487467,28282.088823816495,144000.217273984
2025-11-19,28328.611898017,47659.39904727007,40611.15012956819,29270.375793069787,145869.53686792502
2025-11-20,27885.977337110482,47247.160131916455,40247.87483955341,29502.19619326501,144883.20850184534
2025-11-21,27611.543909348446,46628.801758886046,40505.19483664721,29709.614446071257,144455.15495095297
2025-11-24,27469.90084985836,47132.64932209601,40762.51483374101,28745.729624206928,144110.7946299023
2025-11-25,27664.660056657227,46170.75851960426,42245.88893463467,28892.14250854075,144973.4500194369
2025-11-26,28350.743626062325,47773.90985709051,41655.566588360656,28257.686676427526,146037.90674794102
2025-11-27,28125.000000000004,47361.670941736906,41610.15717710881,27818.448023426063,144915.2761422718
2025-11-28,28377.301699716714,46995.236350311476,40520.331307064494,28391.89848706686,144284.76784415953
2025-12-01,28620.7507082153,46720.4104067424,40157.05601704972,28208.882381649586,143707.09951365698
2025-12-02,27731.055240793205,46353.97581531697,40278.147780387975,28123.47486578819,142486.65370228633
